id,sku,name,seller_product_id,seller_id,tracking_info_amplitude,inventory_status,inventory_type,data_version,day_ago_created,brand_or_author,current_seller,stock_item,categories,benefits_count,rating_average,reviews_count,stars,productset_id,primary_category_path,price,original_price,discount,discount_rate,favourite_count,badges_new,badges_v3,quantity_sold,product_reco_score,availability,shippable
278693123,9048501594437,Cozy Trà Cozy túi lọc Hương Đào 25 túi x 2g Hộp,278693124,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,128,id:202397; name:Cozy,id:1; sku:9048501594437; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:2; name:Root; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2845,1/2/4384/22998/8274/68620,55000,55000,0,0,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'COZY', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",9.0,0,1,True
278673554,1725243218985,Thùng 48 bịch sữa tươi tiệt trùng TH True Milk  nguyên chất 220 ml,278673555,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,135,id:190889; name:TH True Milk,id:1; sku:1725243218985; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2843,1/2/4384/53562/8273/53564,485000,502000,17000,3,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'TH TRUE MILK', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",2.0,0,1,True
278673546,8332687976969,Thùng 12 hộp sữa tươi tiệt trùng TH True Milk  nguyên chất 1 Lít,278673547,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,135,id:190889; name:TH True Milk,id:1; sku:8332687976969; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2843,1/2/4384/53562/8273/53564,568000,574000,6000,1,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'TH TRUE MILK', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",4.0,0,1,True
278495151,1629802427257,Thùng Veyo sữa hạt 05 loại cao cấp (10 hộp x 1 Lít),278495152,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,172,id:8247552; name:Veyo,id:1; sku:1629802427257; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2843,1/2/4384/53562/8273/67070,478000,699000,221000,32,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'VEYO', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",2.0,0,1,True
278025031,7752163407756,ÁO THUN ẤM DỄ THƯƠNG CHO THÚ CƯNG CHÓ MÈO,278025079,311814,is_authentic:False; is_freeship_xtra:True; is_hero:False; is_top_brand:False; return_reason:any_reason,available,backorder,3300,252,id:111461; name:OEM,id:311814; sku:7752163407756; name:BEE TP STORE; store_id:299382; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,5.0,1,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_1,percent_100",2809,1/2/4384/5451/53540/5452/5460,80000,80000,0,0,0,"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'OEM', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều mai', 'type': 'delivery_info_badge'}, {'arr_text': [{'value': '4 Màu sắc'}, {'value': '6 Size'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/b2/8d/56/3086efc2194320a6b83fba7530de7c78.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}]",,0,1,True
277838148,2979185490185,NGŨ CỐC DINH DƯỠNG GRANOLA ( hũ 500gr ),277838155,25916,is_authentic:True; is_freeship_xtra:True; is_hero:False; is_top_brand:False; return_reason:any_reason,available,backorder,3300,284,id:406673; name:Fonut,id:25916; sku:2979185490185; name:Hạt dinh dưỡng FONUT; store_id:25296; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",5559,1/2/4384/68576/68583,219000,219000,0,0,0,"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'FONUT', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều mai', 'type': 'delivery_info_badge'}, {'arr_text': [{'value': '2 Phân loại'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/f7/9e/83/ab28365ea395893fe5abac88b5103444.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}]",,0,1,True
277600368,6597747262358,"Cà Phê Cold Brew Túi Lọc 20g - 100% Arabica Nguyên Chất, Đậm Vị, Pha Lạnh Dễ Dàng",277600370,357228,is_authentic:True; is_freeship_xtra:True; is_hero:False; is_top_brand:False; return_reason:any_reason,available,backorder,3300,305,id:8249792; name:Đất Cà Phê,id:357228; sku:6597747262358; name:Đất Cà Phê; store_id:344936; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2797,1/2/4384/22998/4423/68623,17000,29000,12000,41,0,"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'ĐẤT CÀ PHÊ', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều mai', 'type': 'delivery_info_badge'}, {'arr_text': [{'value': '2 Phân loại'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/f7/9e/83/ab28365ea395893fe5abac88b5103444.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}]",24.0,0,1,True
277389942,2645331895445,"Combo Bánh Tráng Phơi Sương, Bơ, Muối Tép Hành Phi Viettin Mart 400g/850g",277406239,16817,is_authentic:True; is_freeship_xtra:True; is_hero:False; is_top_brand:False; return_reason:any_reason,available,backorder,3300,344,id:4259871; name:VietTin Mart,id:16817; sku:2645331895445; name:VietTin Mart Official; store_id:16222; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,5.0,1,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_1,percent_100",2893,1/2/4384/4421/67507,75000,75000,0,0,0,"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'VIETTIN MART', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều mai', 'type': 'delivery_info_badge'}, {'arr_text': [{'value': '1 Khối lượng'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/f7/9e/83/ab28365ea395893fe5abac88b5103444.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}]",19.0,0,1,True
276584805,7865020582105,HẠT ĐIỀU RANG MUỐI VỠ TÂN LỘC PHÁT,276584810,56290,is_authentic:True; is_freeship_xtra:True; is_hero:False; is_top_brand:False; return_reason:any_reason,available,backorder,3300,444,id:235263; name:TLP,id:56290; sku:7865020582105; name:Tân Lộc Phát; store_id:53330; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,4.2,52,"1:count_4,percent_7;2:count_1,percent_1;3:count_3,percent_6;4:count_18,percent_35;5:count_26,percent_51",2837,1/2/4384/4421/67069,432000,750000,318000,42,0,"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'TLP', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, 04/02', 'type': 'delivery_info_badge'}, {'arr_text': [{'value': '4 Phân loại'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/f7/9e/83/ab28365ea395893fe5abac88b5103444.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}]",226.0,0,1,True
276578651,6508361507050,NHO VÀNG SẤY KHÔ TÂN LỘC PHÁT,276578681,56290,is_authentic:True; is_freeship_xtra:True; is_hero:False; is_top_brand:False; return_reason:any_reason,available,backorder,3300,445,id:235263; name:TLP,id:56290; sku:6508361507050; name:Tân Lộc Phát; store_id:53330; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4384; name:Bách Hóa Online; is_leaf:False,3,4.5,51,"1:count_1,percent_1;2:count_1,percent_1;3:count_2,percent_4;4:count_14,percent_28;5:count_33,percent_65",2837,1/2/4384/4421/67103,153000,255000,102000,40,0,"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'TLP', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, 04/02', 'type': 'delivery_info_badge'}, {'arr_text': [{'value': '4 Phân loại'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/f7/9e/83/ab28365ea395893fe5abac88b5103444.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}]",12.0,0,1,True
