id,sku,name,seller_product_id,seller_id,tracking_info_amplitude,inventory_status,inventory_type,data_version,day_ago_created,brand_or_author,current_seller,stock_item,categories,benefits_count,rating_average,reviews_count,stars,productset_id,primary_category_path,price,original_price,discount,discount_rate,favourite_count,badges_new,badges_v3,quantity_sold,product_reco_score,availability,shippable,category,source_file
278890169,4479183211024,Viên Giặt Tiện Lợi Power100 3in1 Hương Tươi Mát Túi 4 Viên,278890170,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,70,id:163649; name:Power100,id:1; sku:4479183211024; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2787,1/2/15078/4387/4405/68158,50000,50000,0,0,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'POWER100', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",27.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
278890159,5716353795336,Viên Giặt Tiện Lợi Power100 3in1 Hương Tinh Tế Túi 4 Viên,278890160,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,70,id:163649; name:Power100,id:1; sku:5716353795336; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2787,1/2/15078/4387/4405/68158,50000,50000,0,0,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'POWER100', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",25.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
278570625,8570733994684,Túi Viên Giặt Xả MaxKleen 2 Trong 1 Hương Dấu Ấn Ngọt Ngào (34 viên/ túi),278570626,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,161,id:154192; name:MaxKleen,id:1; sku:8570733994684; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,5.0,2,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_2,percent_100",2787,1/2/15078/4387/4405/68158,140000,140000,0,0,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'MAXKLEEN', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",21.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
278317417,5162836647488,Nước Xả Làm Mềm Vải COMFORT Nước Xả Vải Hương Ban Mai Đậm Đặc 1 Lần Xả Giúp Giữ Màu & Bền Vải 3.7L,278317420,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:True; return_reason:any_reason,available,instock,3300,202,id:27954; name:Comfort,id:1; sku:5162836647488; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,4.8,1218,"1:count_25,percent_2;2:count_2,percent_1;3:count_11,percent_1;4:count_107,percent_8;5:count_1073,percent_88",2783,1/2/15078/4387/4403,271000,271000,0,0,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'COMFORT', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'arr_text': [{'value': '1 Dung tích'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",29.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
278317345,8736619919049,Túi Nước Xả Vải Comfort Thơm Hương Phấn Dịu Nhẹ Cho Cả Gia Đình,278317348,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:True; return_reason:any_reason,available,instock,3300,202,id:27954; name:Comfort,id:1; sku:8736619919049; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,4.8,1381,"1:count_16,percent_1;2:count_7,percent_1;3:count_13,percent_1;4:count_100,percent_7;5:count_1245,percent_90",2783,1/2/15078/4387/4403,271000,271000,0,0,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'COMFORT', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'arr_text': [{'value': '1 Dung tích'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",41.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
278074830,7085359654041,Túi Nước Giặt Xả POWER100 Hương Nước Hoa Pháp 3.2KG,277573126,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,241,id:163649; name:Power100,id:1; sku:7085359654041; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,0.0,0,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_0,percent_0",2839,1/2/15078/4387/8239,115000,200000,85000,43,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'POWER100', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'arr_text': [{'value': '2 Mùi hương'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",55.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
278031213,1065923971915,Viên Rửa Chén Bát Hương Chanh Finish Powerball Power Essential Lemon Sparkle - Túi 100 viên siêu tiết kiệm - 1 Túi,275066351,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:True; return_reason:any_reason,available,instock,3300,251,id:459929; name:Finish,id:1; sku:1065923971915; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4399; name:Vệ sinh nhà bếp; is_leaf:False,3,4.9,14,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_2,percent_14;5:count_12,percent_86",2775,1/2/15078/4399/68148/68150,332000,450000,118000,26,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'is_import', 'placement': 'above_product_name_2', 'text': 'Made in Poland', 'text_color': '#27272A', 'type': 'text_above_product_name'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'FINISH', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",362.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
277717564,9902987875897,Combo 2 Nước Giặt ARIEL Chuyên Gia Cửa Trước Ngăn Lem Màu Túi 3.7KG/3.9KG,277717568,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:True; return_reason:any_reason,available,instock,3300,298,id:46334; name:Ariel,id:1; sku:9902987875897; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4387; name:Giặt giũ & Chăm sóc quần áo; is_leaf:False,3,4.9,7,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_1,percent_14;5:count_6,percent_86",2839,1/2/15078/4387/8239,455000,570000,115000,20,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'ARIEL', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'arr_text': [{'value': '2 Mùi hương'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",72.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
277553834,8501613443978,Nước Làm Bóng Chén Bát  Finish Rinse & Shine Aid 500ML,275066382,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:True; return_reason:any_reason,available,instock,3300,315,id:459929; name:Finish,id:1; sku:8501613443978; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4399; name:Vệ sinh nhà bếp; is_leaf:False,3,3.0,2,"1:count_1,percent_50;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_1,percent_50",2775,1/2/15078/4399/68148/68149,150000,185000,35000,19,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'is_import', 'placement': 'above_product_name_2', 'text': 'Made in Poland', 'text_color': '#27272A', 'type': 'text_above_product_name'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'FINISH', 'text_color': '#808089', 'type': 'text_above_product_name'}, {'arr_text': [{'value': '2 Set'}], 'code': 'variant_count', 'placement': 'under_rating_v2', 'text_color': '#808089', 'type': 'text_box'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",48.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
277522380,3308625460207,Nước Rửa Chén Bát Sunlight Chanh 100 Sạch Nhanh Xả Bọt Nhanh Rửa Sạch Dầu Mỡ Túi 3.1KG,208441974,1,is_authentic:True; is_freeship_xtra:False; is_hero:True; is_top_brand:False; return_reason:any_reason,available,instock,3300,321,id:45757; name:Sunlight,id:1; sku:3308625460207; name:Tiki Trading; store_id:40395; is_best_store:False; is_offline_installment_supported:None,max_sale_qty:1000; min_sale_qty:1; qty:1000,id:4395; name:Nước rửa chén; is_leaf:True,3,5.0,3,"1:count_0,percent_0;2:count_0,percent_0;3:count_0,percent_0;4:count_0,percent_0;5:count_3,percent_100",2775,1/2/15078/4399/68148/4395,94000,97000,3000,3,0,"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'is_hero', 'icon': 'https://salt.tikicdn.com/ts/upload/0f/59/82/795de6da98a5ac81ce46fb5078b65870.png', 'icon_height': 20, 'icon_width': 76, 'placement': 'under_product_image_2', 'type': 'icon_badge'}, {'code': 'brand_name', 'placement': 'above_product_name', 'text': 'SUNLIGHT', 'text_color': '#808089', 'type': 'text_above_product_name'}]","[{'code': 'product_image_badge', 'image': 'https://salt.tikicdn.com/ts/upload/12/e2/4a/c5226426ee9429b0050449ae5403c9cf.png', 'placement': 'badge_overlay_product_image', 'type': 'image_badge'}, {'code': 'event_badge', 'placement': 'text_overlay_product_image', 'style': {'background': '#D93843', 'border_color': '#FFFFFF', 'text_color': '#FFF0F1'}, 'text': '2.2', 'type': 'text_badge'}]",631.0,0,1,True,home_care_cleaning,home_care_cleaning_page01_03.csv
